"AdaptDown","AdaptUp","Stage1_1","Stage1_2","Stage1_3","Stage1_4","Stage1_5","Stage2_1","Stage2_2","Stage2_3","Stage2_4","Stage2_5","Stage3_1","Stage3_2","Stage3_3","Stage3_4","Stage3_5","Stage4_1","Stage4_2","Stage4_3","Stage4_4","Stage4_5","Stage5_1","Stage5_2","Stage5_3","Stage5_4","Stage5_5","Stage6_1","Stage6_2","Stage6_3","Stage6_4","Stage6_5","Stage7_1","Stage7_2","Stage7_3","Stage7_4","Stage7_5","Marg_Bias","Marg_MSE","StartCor_Bias","StartLow_Bias","StartHigh_Bias","StartCor_MSE","StartLow_MSE","StartHigh_MSE","TStart1_Bias","TStart2_Bias","TStart3_Bias","TStart4_Bias","TStart1_MSE","TStart2_MSE","TStart3_MSE","TStart4_MSE"
0,50,248.74,458.61,624.08,668.57,0,54.76,328.36,611.07,756.74,249.07,23.34,212.08,545.21,752.23,467.14,14.04,153.38,486.36,745.13,601.09,9.61,121.49,436.87,733.11,698.92,7.24,100.81,396.39,715.55,780.01,5.82,87.14,366.46,695.93,844.65,-0.0174816217669978,0.0676366096545401,-0.0210902674829199,-0.00498216944988805,-0.0271134084908555,0.0595083290264617,0.0531974152386467,0.103331411014309,0.110973141010458,0.039437284927367,-0.0306941565314074,-0.0730040902326701,0.0796872890008075,0.0675861455407668,0.0744154077605853,0.0567270505715429
0,55,247.84,462.17,619.97,670.02,0,51.32,331.89,613.54,750.43,252.82,23.08,210.88,544.28,752.69,469.07,13.87,152.89,485.01,752.95,595.28,9.65,121.68,436.85,736.83,694.99,7.35,100.97,398.8,718.81,774.07,5.77,86.52,365.85,699.42,842.44,-0.0175284387494525,0.0668833553120591,-0.0221557191166478,-0.00398576699735653,-0.026693460014813,0.0581630315604549,0.0523429750667159,0.103681687822107,0.109780449468511,0.0392388216775825,-0.0306639156779744,-0.0726469058155521,0.0798442838861822,0.0662329947924824,0.0738797674942182,0.055997339244254
0,60,252.16,459.18,619.26,669.4,0,105.01,376.9,633.46,748.9,135.73,59.32,305.32,618.37,751.44,265.55,39.71,257.91,594.49,755.46,352.43,29.95,223.31,568.35,765.36,413.03,23.73,199.12,547.65,764.82,464.68,19.67,181.43,527.2,763.36,508.34,-0.0169678211811765,0.055913762898009,-0.0136822450189927,-0.00268458651189857,-0.042656462194475,0.0461737168812791,0.0429600495729025,0.0925017237146444,0.0849580151281042,0.0234701842773538,-0.0301903868979015,-0.0544297757369868,0.0621767426111181,0.0535344714602072,0.0631509790458135,0.0473582534890189
0,65,249.07,459.63,623.12,668.18,0,102.56,374.75,634.26,754.21,134.22,59.35,303.2,608.81,764.16,264.48,39.93,254.54,589.42,770.94,345.17,30.18,220.89,563.24,776.19,409.5,24.04,197.64,542.23,777.28,458.81,20.14,177.4,527.4,774.71,500.35,-0.0165975252708151,0.0553727109061203,-0.0132704905715097,-0.0010059430177725,-0.0441666975744234,0.0452114618391923,0.0431108770592229,0.0919862998672624,0.0865812553277617,0.0222543846974642,-0.0280736851811103,-0.0551823526851885,0.0605685668539466,0.0540757332524694,0.0629955268098291,0.0458142438603266
0,70,250.28,459.63,621.55,668.54,0,104.58,376.52,627.61,754.09,137.2,57.86,301.61,620.69,757.86,261.98,39.17,255.12,593.8,765.12,346.79,29.74,219.38,574.93,767.56,408.39,23.7,194.45,553.31,767.88,460.66,20.05,177.37,533.59,765.05,503.94,-0.0170873520689311,0.0550555519625966,-0.0120862363453364,-0.00334106358650738,-0.0456031588800412,0.0443915072403131,0.0426251634984959,0.0929863759907073,0.0817362564437423,0.0256127218684817,-0.032838190112093,-0.0521466528647158,0.0602151975949851,0.0537086000927603,0.0631807584452568,0.0448985532616234
0,75,250.74,464.53,620.39,664.34,0,168.72,423.31,627.06,725,55.91,121.05,391.36,633.89,743.75,109.95,93.16,364.03,632.14,753.05,157.62,77.14,336.15,632.5,760.69,193.52,65.88,316.88,627.6,766.23,223.41,56.88,300.53,622.59,768.87,251.13,-0.015640908204197,0.050784606244246,-0.00887867945355283,0.0032784748262719,-0.0550031736315331,0.0384793997496835,0.0411186139253552,0.0885477793799863,0.0728587564118225,0.0225345300915635,-0.0308887594279748,-0.0460289338147606,0.0526880357577646,0.049068349342027,0.0591260918909056,0.0413471619216604
0,80,250.77,461.54,621.7,665.99,0,172.37,413,635.75,721.31,57.57,125.88,382.66,635.5,745.01,110.95,98.11,352.14,637.78,754.73,157.24,80.09,329.3,633.47,764.47,192.67,67.07,311.11,628.2,768.25,225.37,58.21,294.39,623.85,771.04,252.51,-0.0149656890291281,0.0501277055977601,-0.0088975791147851,0.00264049845555638,-0.0505314279094074,0.03793540967634,0.0406548777325285,0.0869374088979841,0.0731566292753669,0.0231306441690757,-0.0305277160670166,-0.0448329413099443,0.0520072742274684,0.0485458547926125,0.0584437388093213,0.0405872333838392
0,85,248.95,463.59,621.87,665.59,0,164.94,422.82,632.33,726.68,53.23,122.21,382.77,640.68,743.09,111.25,94.19,353.09,644.09,749.95,158.68,76.64,329.3,639.98,754.45,199.63,64.5,311.13,633.4,759.14,231.83,55.78,294.51,627.12,761.92,260.67,-0.0148679225752668,0.0495291236222877,-0.00823725303489815,0.00227399016346095,-0.0512739745603554,0.0373353036007366,0.0403302682756769,0.0860888057002122,0.0737596131187963,0.0231945941804046,-0.0311335690002523,-0.0436776343546293,0.0530533985761391,0.0483437261219957,0.0580551152912459,0.0390752759459099
0,90,248.22,460.09,622.92,668.77,0,226.71,447.73,622.86,688.68,14.02,205.36,436.98,627.12,701.61,28.93,188.9,428.72,628.52,712.12,41.74,173.97,418.74,631.5,721.59,54.2,160.48,410.44,635.5,728.44,65.14,149.2,403.36,636.78,735.02,75.64,-0.00778995468436991,0.0569452388026596,-0.00722808943681903,0.0268709586926587,-0.0554912227280838,0.0383063033491234,0.0621533911113643,0.0867674586020713,0.0748464481474395,0.0385666186075791,-0.0218191411551468,-0.044511340775072,0.0537002372016849,0.0597156551345884,0.0642431019810024,0.0465394956484781
0,95,252.51,459.53,626.68,661.28,0,227.62,449.08,626.36,683.41,13.53,208.37,438.35,628.11,699.02,26.15,190.3,429.47,631.85,709.44,38.94,174.71,422.06,633.95,718.02,51.26,160.91,415.03,637.11,723.46,63.49,149.26,406.58,641.89,727.98,74.29,-0.00790602739874335,0.0573937656069777,-0.00613747632344653,0.025506099291562,-0.0563073478577138,0.0385067102567144,0.0625638031548791,0.0876732687334086,0.0762053473290143,0.0388400144841517,-0.0221397919341567,-0.0454620205777068,0.0532343970296361,0.0604004251636359,0.0638812937376113,0.0477636333197578
0,100,251.16,459.08,623.24,666.52,0,251.16,459.08,623.24,666.52,0,251.16,459.08,623.24,666.52,0,251.16,459.08,623.24,666.52,0,251.16,459.08,623.24,666.52,0,251.16,459.08,623.24,666.52,0,251.16,459.08,623.24,666.52,0,0.0101526434835877,0.0749125553204586,-0.00489192647771042,0.0817005391169231,-0.0562361362502711,0.0406580641216093,0.117558608646259,0.0858853174538445,0.0762539046727345,0.0775654365165139,-0.000621354792633187,-0.0437167456544785,0.0544800640342125,0.0934835050461677,0.0776435742194975,0.0612898299094914
5,50,251.47,460.33,622.73,665.47,0,60.01,348.95,631.6,708.92,250.52,38.36,241.04,574.84,696.1,449.66,31.02,200.17,537.56,696.46,534.79,28.68,184.21,508.04,704.43,574.64,27.47,170.31,502.14,694.2,605.88,26.7,162.84,491.81,696.84,621.81,-0.00739700305992599,0.0542302159874385,-0.0146157684555792,-0.004634669151311,0.00322775174278032,0.0508488272197564,0.0486246360752901,0.0686004811834507,0.0949897616607076,0.0416575574157508,-0.0123331288370665,-0.0617208841366312,0.0648530952367664,0.0555576399921371,0.055629022858738,0.0491755556943953
5,55,249.58,462.67,618.57,669.18,0,62.23,344.77,635.23,710.53,247.24,37.04,238.67,571.74,710.92,441.63,30.58,195.76,538.92,703.85,530.89,29.08,174.5,515.89,706.95,573.58,27.67,169.55,490.21,709.27,603.3,26.23,160.26,488.81,704.34,620.36,-0.00747988888416069,0.0539869548483195,-0.0149596306309566,-0.00484411936510174,0.00397722414751631,0.0506363946435566,0.0487348774026478,0.0677947941551647,0.0962986315633492,0.0435410179810413,-0.013847816711204,-0.0618622461833293,0.0636649203571709,0.0551647449762879,0.0554028176119229,0.0492115634261865
5,60,249.63,461.8,621.8,666.77,0,110.68,392.69,648.33,713.72,134.58,72.34,332.34,643.2,707.16,244.96,58.85,295.21,634.95,694.36,316.63,55.28,272.03,627.06,689.04,356.59,50.26,259.69,615.89,688.44,385.72,48.29,253.5,610.18,687.9,400.13,-0.00605642470953176,0.0441415153248733,-0.0106579526945525,-0.00130315874728497,-0.00338219653468745,0.0401060205929055,0.0405247412604109,0.0570942371762935,0.0751423578243915,0.0315891257611333,-0.00947660375616529,-0.0484888320964668,0.0488888267458379,0.0443552964414453,0.0457072350974481,0.0410141136366069
5,65,251.1,462.76,619.41,666.73,0,111.54,392.59,645.59,714.17,136.11,71.71,334.79,643.44,700.13,249.93,59.38,292.22,640.36,690.82,317.22,53.21,270.16,628.24,692.07,356.32,50.59,258.77,616.14,691.47,383.03,48.74,253.77,614.03,686.29,397.17,-0.00577069238224876,0.0448381425100673,-0.0097013601669514,-0.0014014673645607,-0.00385977739147959,0.0407659717226773,0.0413556937712444,0.0576617363668317,0.0780422240974161,0.0356761792574369,-0.0124647934251554,-0.0481394657277858,0.0507888613273341,0.0453765533049907,0.0459907920753395,0.0416847253083626
5,70,248.81,461.64,617.99,671.56,0,111.03,386.24,652.45,713.53,136.75,70.09,334.13,641.68,701.94,252.16,57.99,299.45,629.2,693.3,320.06,51.81,277.75,621.12,688.55,360.77,49.51,262.62,614.68,689.72,383.47,47.87,250.71,610.73,689.37,401.32,-0.00627713356996725,0.0446305693018643,-0.00992216710032573,-0.000988821232618108,-0.00621122002245346,0.0404242566233186,0.0409093880023591,0.0580031415646506,0.0799145949094046,0.0327174137308406,-0.0132492210005863,-0.0463914655826103,0.05217940578938,0.0442357009968038,0.0463661477030482,0.0411594414876408
5,75,250.78,460.38,623.38,665.46,0,176.81,427.59,654.69,686.55,54.36,138.25,404.97,665.56,683.9,107.32,115.29,387.49,678.38,667.46,151.38,102.85,375.26,680.7,658.07,183.12,96.16,365.79,682.17,651.92,203.96,91.48,359.95,680.85,646.71,221.01,-0.00386713925034147,0.0420714715708149,-0.00680231389009161,0.00372937042798541,-0.00821553294130957,0.0370203321133337,0.0410931937639047,0.0534168022078372,0.0709466399752659,0.0344805582680061,-0.00874808768999789,-0.0439206100396855,0.0461687770540569,0.0416761721024515,0.0431366556528788,0.040097419407752
5,80,251.88,462.41,624.95,660.76,0,176.42,434.07,653.33,681.82,54.36,138.21,409.33,672.51,672.1,107.85,115.81,395.86,678.25,659.68,150.4,103.06,383.3,680.95,651.34,181.35,95.43,374.5,685.54,641.01,203.52,90.06,365.42,690.96,632.59,220.97,-0.00359898375766981,0.041985597180734,-0.00716216466125848,0.00274025299063894,-0.00506806177882227,0.0368836320015941,0.0408505832765798,0.0536488303359383,0.0718176214521681,0.0334126538904685,-0.00775776705537532,-0.0441420534917906,0.0459019928884165,0.0420668820079896,0.0429982841074565,0.0398484714222599
5,85,250.49,459.41,623.27,666.83,0,174.45,436.12,641.95,691.79,55.69,134.18,414.83,660.88,679.02,111.09,112.92,398.31,677.19,660.13,151.45,100.71,383.39,686.95,647.16,181.79,93.41,373.78,688.7,640.99,203.12,89.53,367.37,686.29,636.11,220.7,-0.00402918056020911,0.0415641661762643,-0.00721323224188279,0.00317559939194233,-0.0075373799638064,0.0360980004609883,0.040708428274642,0.0534569285831436,0.0706814156381146,0.0329431925609918,-0.00969446167485231,-0.0420459445037565,0.0454247282862722,0.0419879600648044,0.0427873821847102,0.0388791332607469
