"Rep","Stage1_1","Stage1_2","Stage1_3","Stage1_4","Stage1_5","Stage2_1","Stage2_2","Stage2_3","Stage2_4","Stage2_5","Stage3_1","Stage3_2","Stage3_3","Stage3_4","Stage3_5","Stage4_1","Stage4_2","Stage4_3","Stage4_4","Stage4_5","Stage5_1","Stage5_2","Stage5_3","Stage5_4","Stage5_5","Stage6_1","Stage6_2","Stage6_3","Stage6_4","Stage6_5","Stage7_1","Stage7_2","Stage7_3","Stage7_4","Stage7_5","Marg_Bias","Marg_MSE","StartCor_Bias","StartLow_Bias","StartHigh_Bias","StartCor_MSE","StartLow_MSE","StartHigh_MSE","TStart1_Bias","TStart2_Bias","TStart3_Bias","TStart4_Bias","TStart1_MSE","TStart2_MSE","TStart3_MSE","TStart4_MSE"
1,266,472,572,690,0,72,616,832,384,96,105,540,830,273,252,197,395,428,852,128,263,366,818,322,231,41,315,890,637,117,116,376,1006,443,59,0.00405570189335195,0.0210273644910837,-0.0014440603244553,0.011045154273535,0.00592293375893951,0.0193269411545263,0.0222912061446735,0.0228631456324078,0.0242261647398377,0.0360914796287681,-0.00575941601903244,-0.0123360031602621,0.0175152514032495,0.0193953514308361,0.0245200166239948,0.0187152781355838
2,246,452,637,665,0,20,710,982,277,11,46,763,519,594,78,282,55,1335,170,158,181,474,794,379,172,564,0,787,564,85,531,33,710,551,175,-0.00190960405413757,0.0206017861985618,-0.00293631925478735,-0.00613436032046937,0.00526881736097837,0.0211138631615233,0.0186802877687227,0.0219798147345275,0.0547819826921644,0.027994350483425,-0.0175816432335056,-0.0195130564770723,0.0325945022277389,0.0249402747931984,0.0189708213294221,0.0163565804700539
3,262,464,603,671,0,102,363,1140,372,23,107,422,796,574,101,82,503,933,358,124,61,619,854,329,137,95,516,873,352,164,145,390,783,464,218,0.000221035780607074,0.0205220305461825,-0.00544688829468882,0.000154774545081957,0.0117070801925563,0.0215663711985186,0.019251376773099,0.0201208065614769,0.0709094195487369,0.0151271635764309,0.00643014330927448,-0.0361417017377566,0.0287712513476038,0.0203785909641112,0.0181511966589979,0.0218071743174254
4,251,451,652,646,0,9,522,930,469,70,9,871,273,700,147,55,410,792,679,64,190,268,895,427,220,166,468,921,270,175,177,247,904,584,88,-0.000802461879317517,0.0234693001141589,-0.00669880510020421,-0.00557948000913003,0.0157411269127634,0.0227031363878332,0.0227826873772339,0.0257060982692979,0.0312476968432009,0.0268074888370893,0.0019250440677276,-0.033278292042661,0.0267335171624651,0.0192418533418281,0.0261170027516146,0.0228192912903408
5,275,487,615,623,0,102,677,587,593,41,51,747,803,261,138,155,36,992,613,204,127,266,1166,384,57,335,390,822,358,95,157,509,622,578,134,-0.00163215731064001,0.0257158079098016,-0.00864588226949284,0.00209939234058796,0.00699012454952893,0.024560676732321,0.0265765246303963,0.0267751778099987,0.00813793900183956,0.0223960298304667,-0.00682077708354058,-0.0177755498394674,0.0232418982849192,0.026379080670659,0.0246547372323534,0.0271375552636997
6,245,430,644,681,0,247,192,1117,362,82,0,621,979,172,228,180,922,587,187,124,218,197,1126,361,98,223,512,906,195,164,143,447,746,398,266,0.00149690868246578,0.022147714648233,0.00566991905210342,-0.0114062327202157,0.0103920362660955,0.022826461241823,0.0224458836554507,0.0204444746999639,0.0331266738362799,0.0193738894007821,0.00805580071081988,-0.0266514494539518,0.0251815858160475,0.0256787462800885,0.0170295216841479,0.0255352339935426
7,245,483,597,675,0,102,630,953,301,14,101,817,935,0,147,168,666,656,411,99,41,180,1116,531,132,65,584,472,711,168,108,392,814,486,200,0.00294253951285558,0.017823771816002,-0.00163047990072557,0.00434792554948436,0.00992835646846483,0.0178132089987408,0.0179107361450476,0.017728104657033,0.0376860787453946,0.0141582342664404,0.0089125928947857,-0.0210052429192909,0.0244763280865803,0.0185480923991774,0.0152283552807215,0.0190788911971703
8,283,469,580,668,0,123,247,1183,310,137,94,571,971,216,148,127,374,991,460,48,200,118,1274,199,209,84,464,633,533,286,181,569,470,713,67,-0.00199067309936017,0.0289089121765903,0.00109206024362195,-0.00761878513767532,-0.000519879750206414,0.0299551662111364,0.0306208018735422,0.0242782521981088,0.0562111146517267,0.0201323022526497,-0.00845863314697024,-0.0265733711276263,0.0375097888514014,0.0246421635224013,0.0266849993830944,0.0326505256771976
9,263,487,612,638,0,85,509,902,427,77,51,612,493,834,10,257,184,1039,340,180,277,335,875,371,142,201,295,920,433,151,311,43,1137,431,78,0.00285830569513407,0.0216915277977543,0.00526737824191178,-0.00696314198879131,0.0113707965647279,0.0215217123198968,0.0219778690178519,0.0216425082521167,0.0724478727715072,0.0110908809421605,0.00214460048448359,-0.0223278373341527,0.0355215614033139,0.0230226838248407,0.0200169872757731,0.0189418178813288
10,233,454,632,681,0,60,595,477,711,157,63,181,1257,383,116,225,98,961,595,121,117,894,0,838,151,64,605,827,400,104,66,622,603,475,234,-0.00021608629032965,0.02241408188596,-0.00531565363218427,0.000484320753867082,0.00935269260779109,0.0208189833022868,0.0213149856339024,0.027259045277884,0.0167884257695273,0.0369223496523529,-0.0133894055080098,-0.0139573792172807,0.0259879106361674,0.0232750727799342,0.0237190811124829,0.0196266474937219
